UC_NM_MN,XC_NM_LST,street_orientation_entropy,orientation_order_indicator,weighted_street_orientation_entropy,median_street_segment_length,average_circuity,average_node_degree,proportion_nodes_dead_ends,proportion_nodes_fourway_intersections,B15,NTL_AV,SDG_OS15MX,E_GR_AV14,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14
Guangzhou,China,3.533467411452119,0.0450399607268656,3.548061073231468,193.28295732040107,1.0573933460039715,4.482790405899335,0.1129105561992305,0.2258339147745821,2771.37182617,18.045572976,58.15,0.29503739616232,4.9999999999999996e-06,368.564111387,728.190112633,6590.62603638
Beijing,China,3.16304872925963,0.3461082060631871,3.234400792857663,191.686610798941,1.0535526530936243,4.638807120829829,0.1342339500981216,0.2331616204093075,1382.28771973,20.510690137,34.64,0.334018100003899,429.391078754,1643.42801776,39.8484186875,2112.6675152
Jakarta,Indonesia,3.4276515826229703,0.1368443403403663,3.4754354365904545,70.616165077675,1.074276088176262,4.862755470621395,0.2725201805879523,0.0832152722788235,1889.14111328,11.141954183,62.29,0.382078046168917,2376.97704386,2470.95395621,129.100233781,4977.03123385
Surabaya,Indonesia,3.3223743331616062,0.2235782581026818,3.358525518054289,77.47576428145574,1.0551067557574807,4.854632259624101,0.2604460022964888,0.0833504562760621,566.760375977,10.060002371,67.63,0.425959806502283,1108.47197375,578.737259625,52.7614381824,1739.97067156
Tokyo,Japan,3.5713719178521672,0.0110261320162602,3.575153753486023,68.76325228311595,1.0519987220678946,5.464046458052116,0.1435019964823623,0.1596935717727523,3664.91235352,20.773301443,31.08,0.332728978644726,1374.31441444,3247.27285246,684.751839658,5306.33910656
Osaka [Kyoto],Japan,3.437879664163759,0.1281731058387342,3.4714823571257925,69.84335513392276,1.057231319228773,5.44324268562677,0.1476543219673224,0.1665879748291924,2113.33789062,18.636477208,33.08,0.316844582379516,972.991974517,1502.98314488,673.111862229,3149.08698163
Quezon City [Manila],Philippines,3.546116874571571,0.0337550631651974,3.55370871141501,85.37818043138705,1.067352740308324,5.1430407819385175,0.2062258611804353,0.1279683148136353,644.360412598,11.253875626,68.26,0.353754529397396,1014.76900735,848.7025258,154.248431075,2017.71996422
Ho Chi Minh City,Vietnam,3.561713569706472,0.0197496151988617,3.5644171200336827,86.23648544438669,1.0504663610964422,4.648991531126939,0.31349489268985,0.0844954990371737,617.356384277,14.733641708,57.92,0.374210579324239,571.539541999,830.402934597,55.4039331037,1457.3464097
Seoul,South Korea,3.5609280997038213,0.020457357657508,3.5634121247310526,108.18150091770931,1.052206726557599,5.490699129234287,0.0963882277652743,0.2171952859289725,1079.2911377,34.21942477,55.93,0.347323726198286,985.982391766,1364.61445856,94.8409514836,2445.43780181
Singapore,Singapore;Malaysia,3.5599529913428904,0.0213356168843403,3.564306655685661,111.77403766214606,1.0736666501868437,4.408364945044257,0.1335862270207178,0.1650228576986674,296.665588379,47.116190395,66.25,0.33622304138293,132.428411667,658.257427019,82.9317457549,873.617584441
New Taipei [Taipei],Taiwan,3.5432558718520224,0.0363132348928109,3.5562331119001795,146.12406270984184,1.0605832035812546,4.872474020454608,0.1580433769296153,0.2475665597323901,379.624420166,30.79571689,62.56,0.323080488980427,410.12117615,535.730826816,64.2342853912,1010.08628836
Bangkok,Thailand,3.492164514714509,0.0814257172865549,3.489436947646457,86.5759234780155,1.0575158978680232,4.3423800784022815,0.3875413274670179,0.085580630927334,1045.68457031,21.247606966,59.28,0.391078645674333,505.383244745,2032.7127428,14.2238342701,2552.31982182
Kuala Lumpur,Malaysia,3.468270869543541,0.1021521368414706,3.49625384332521,107.0729633680548,1.0879086745429627,4.536395999928442,0.1882502370346518,0.0942771784826204,783.204956055,37.821681359,41.02,0.368465175446673,263.732277427,1047.6179144,9.9118302473,1321.26202208
Sydney,Australia,3.4659518311949027,0.1041511834255614,3.445799904950998,118.60939682583948,1.0596807080696444,4.644437440907659,0.1845824141191301,0.0921525370312007,921.579467773,17.236119071,34.87,0.42818445623906,472.886221991,837.775735945,41.7484911289,1352.41044906
Melbourne,Australia,3.236516155311765,0.2909143636451207,3.127469973856686,90.62501087159308,1.0423012183933582,4.389467554199194,0.1623285197225355,0.0922621022136712,1141.57263184,17.236491131,29.1,0.402524714482842,368.315674692,1172.38106373,66.1078422745,1606.8045807
Auckland,New Zealand,3.570916412839312,0.0114384154145127,3.570858199042833,109.54691912479711,1.0674902928810086,4.535338082958171,0.186896280431837,0.0793740985182918,254.246490479,16.680869477,44.49,0.46993903507925,187.884658232,245.246004404,23.2303148806,456.360977517
Delhi [New Delhi],India,3.3940613208838157,0.1650168533212654,3.454660057821937,73.85731453677923,1.0387709579954156,5.343879648186681,0.1649188761377127,0.1514961001825446,1212.72961426,28.24663559,50.98,0.316456335431552,444.240995254,1928.7059496,91.81785775,2464.7785043
Mumbai,India,3.528722626228646,0.0492558053062407,3.5397187307168267,111.08666506709838,1.060612312728251,4.713807768641905,0.2011719119175881,0.1553539363009167,364.170318604,21.113853908,66.19,0.341853263468574,286.491143069,715.234452717,68.5423537983,1070.26794958
Kolkata,India,3.3526344974198325,0.1991182607628771,3.441495263467403,79.29087506751044,1.0703260507235188,4.984530930965394,0.2597990694649663,0.0559803373069952,1218.22070312,9.0710073073,70.48,0.493526524051973,1985.38072324,775.346937158,41.9397274699,2802.66738787
Dhaka,Bangladesh,3.384161385300617,0.1732308540160884,3.459841887502114,143.5127607907903,1.0828320812752703,5.05760592534182,0.2221721559626568,0.0937944435839306,867.489440918,3.1028155787,73.93,0.490158284810147,2401.34972427,803.536000451,27.5834765115,3232.46920123
Karachi,Pakistan,3.4949601122564493,0.0789852358332726,3.500465547469706,68.39256565379185,1.0216875542824355,5.744934014306737,0.0971960998795967,0.2365962871735144,336.809753418,28.533364199,55.27,0.155234871939006,2.8349989941000002,241.608734166,504.039614407,748.483347566
Lahore,Pakistan,3.3839230412032184,0.17342810817683,3.415475437348336,80.07972669006502,1.036975441324283,5.254134109425686,0.1819174929326117,0.132700117581327,333.423248291,11.531812663,65.09,0.26579796222904,112.919171307,746.065252257,94.2937449375,953.278168501
Kabul,Afghanistan,3.498876456767214,0.0755609276458325,3.4989197176842994,101.5145893283328,1.0370125956756049,5.123075756426784,0.2151740350345037,0.1134829756578448,108.66116333,10.943690341,66.15,0.213034025729092,4.7988415255,152.968735901,162.054121256,319.821698683
Tehran,Iran,3.52138994526479,0.0557527075614828,3.522258737752876,80.2990977118769,1.0417582440395932,4.19609476112768,0.2831973439873952,0.1190872770243655,683.019775391,34.802183288,50.58,0.191523846567169,40.7955747853,631.819080869,705.538757243,1378.1534129
Baghdad,Iraq,3.514934771227096,0.0614536855620664,3.5271691970856285,92.06026191022988,1.0305736369838885,5.493422893926672,0.0774163715791138,0.1268207206220567,434.25869751,37.911539022,44.82,0.150352617764307,3.32988325,286.04416397,496.185667787,785.559715007
Dubai,United Arab Emirates,3.4481257947788237,0.1194431167242665,3.415066790914272,98.82961864505766,1.05547841591532,4.232198303526514,0.0448229804506582,0.0571388922617911,288.958007812,69.54524382,100.0,0.139459740660368,0.0,85.0501183635,676.850633762,761.073172459
Yangon,Myanmar,3.5347210314292354,0.0439245345990148,3.538642263272404,90.48440493748836,1.035567855780274,5.572873867903689,0.1317428760768721,0.2034239010382151,188.655914307,10.725887907,64.0,0.48181504546567,324.379293845,186.495622205,10.2742521645,521.149168214
Jeddah,Saudi Arabia,3.343349705076333,0.2066637149407987,3.3741640662450743,113.4574743612128,1.0404358653369563,5.057345765495918,0.0488670950287453,0.1449103821440649,193.925048828,83.984063283,63.89,0.10239704167947,0.0,4.207217237,529.375395985,531.949368321
Riyadh,Saudi Arabia,3.142574550018007,0.3610914375701227,3.1473278117626693,100.73582979692252,1.0266480741661004,5.213834885613528,0.0219459263947915,0.10824667691473,634.669250488,129.59722031,37.53,0.107533157414024,0.0,24.5848792083,985.927988965,1010.51286817
Algiers,Algeria,3.562433002689135,0.0191011506935231,3.5647492907214504,94.37267738446432,1.080614114442786,4.92610574817692,0.1959406713505074,0.1047771367643418,290.158660889,43.36835633,60.09,0.359842022435546,274.407772423,404.694728188,45.5008747502,724.603375362
Cairo,Egypt,3.487038298602975,0.0858923545738038,3.506159973295333,62.95073944873654,1.0271643625858782,5.209594732758558,0.1711853468591607,0.1024588678041317,637.769348145,47.072641261,59.76,0.220934602147158,544.354255878,503.960991372,531.00010954,1579.31535679
Alexandria,Egypt,3.4250858896713967,0.1390127023070433,3.456792233849462,63.08630422421477,1.026810872219488,5.465335811611808,0.1241822412808992,0.1576829071962767,251.108078003,38.006930267,58.01,0.239349878220604,190.923799242,144.391470757,260.844558177,596.159828176
Casablanca,Morocco,3.4462185309806377,0.1210714530298605,3.460768024013495,72.31017404883166,1.0445495317783928,5.366007804546997,0.0588734306073973,0.1786986766202918,157.085449219,39.869642662,60.03,0.262157299346705,62.927743985,243.029933919,85.5405779265,391.49825583
Amman,Jordan,3.5607069303146788,0.0206565947310037,3.561310537116376,94.34738430602846,1.04832856129088,4.99185693202535,0.0990363746853025,0.1117284486500564,276.238311768,32.028365422,49.03,0.177075672446886,0.0,219.206639338,320.647623671,539.867522314
Lagos,Nigeria,3.5598150581988017,0.0214598185142352,3.5564523645687016,111.99979774498344,1.0457216582328934,4.968083421927662,0.2320907507521093,0.0695672826799972,813.717163086,9.002027077,31.96,0.28471198549272,106.687903602,851.213107613,228.82859324,1186.72960446
Luanda,Angola,3.5393761369184364,0.039776891196215,3.535181162042163,83.78685510997894,1.029686845130292,5.700068091462209,0.114492498956663,0.178081138664968,463.673126221,26.882317175,100.0,0.204529732422871,0.7008960667,465.900705284,301.303785802,767.905387153
Johannesburg,South Africa,3.5645721462764755,0.0171717563532755,3.564310961568937,120.17158894584428,1.0795789146344834,5.1717990602375625,0.1440397684877084,0.1760542077560651,900.362426758,27.228976914,45.03,0.391329258537314,339.660392498,1249.9441023,41.0590515086,1630.66354631
Khartoum,Sudan,2.9666652787566123,0.482668215806235,2.992856074309824,68.01379208754196,1.0111046544303195,6.300937464703889,0.0106396596513685,0.24918489514702,264.52166748,15.99886687,64.73,0.14609749368279,3.4690992757,137.044121342,604.296425905,744.809646523
Kinshasa,Democratic Republic of the Congo;Republic of Congo,3.537871639625447,0.0411183621499834,3.522432141327766,94.29645045906652,1.030241833550143,5.841498219213624,0.1497039884897516,0.2672830624808359,139.977539062,16.060481402,63.45,0.273722142718104,17.6098321262,316.254118447,45.7622804723,379.626231046
Dar es Salaam,Tanzania,3.576149109127246,0.0066970574004642,3.5776603024007767,94.5456416014362,1.0590157223375365,5.229269134524118,0.2007765984985762,0.0705496591595478,263.489929199,7.8279503022,60.08,0.373486988333511,147.288304344,491.984029547,16.3446381576,655.616972048
Accra,Ghana,3.518363927698452,0.058427327020093,3.5208135975886607,107.85925830924825,1.0412546444139783,5.31898055918115,0.1653637425293673,0.0827643058322456,494.896209717,12.915867279,41.5,0.293612007773256,14.5899709914,749.026020521,76.3758199088,839.127115585
Nairobi,Kenya,3.565730863324278,0.0161258633623201,3.5650059460744616,98.76189197972133,1.059903162143089,4.894942413620431,0.2464697045568352,0.072475379736271,72.8792724609,18.3977231,78.37,0.328551467182886,102.777584861,229.499968966,1.9861183750000002,334.263672202
Addis Ababa,Ethiopia,3.557628040375027,0.0234280612219365,3.5654926714556017,74.98655859255257,1.0380051037617777,5.383722104412804,0.1337305193712343,0.137937998586287,105.391441345,9.9309871359,73.11,0.307875150536799,63.272188952,318.087492229,8.8318769375,390.191558118
Kano,Nigeria,3.38722189726977,0.1706958755266426,3.4476416197655086,64.82806762775867,1.0313171127074896,5.930643620935293,0.0518998637922126,0.1426424310741628,189.215103149,9.5600448401,51.97,0.285518621093102,71.5759131159,287.570475165,32.0198835306,391.166271811
Cape Town,South Africa,3.540902384141276,0.0384150689887794,3.546078986628497,99.09770089352176,1.0910405595799932,5.192703793381759,0.1672477804681194,0.1640355125100887,388.139160156,34.772965592,44.31,0.352810715683956,98.9563604088,568.25784751,28.2067062007,695.420914119
Dakar,Senegal,3.5462830818782933,0.0336063443266015,3.5551049004441477,56.38562431612379,1.022839610189619,5.899840170484816,0.0712839637719765,0.1772154146687977,169.555953979,14.381488715,38.79,0.251474938006279,2.4431468172,160.864713209,112.031732953,275.339592978
Yaounde,Cameroon,3.5809967694401776,0.0022944595262752,3.58168924025507,91.14654925098098,1.0622126742044729,4.920426702853481,0.2727581137622978,0.0950280824757812,150.504333496,11.524914587,40.04,0.404703281729777,98.2900707699,150.780295697,0.0,249.070366466
Istanbul,Turkey,3.5756284532829112,0.007169333017973,3.577320203501421,80.38626026444466,1.046584485997972,5.369730912597593,0.072368624396516,0.1786498031143173,718.203491211,43.312299538,46.4,0.273809528534214,234.347108146,828.454559957,278.689246773,1341.49091488
Moscow,Russia,3.579011294648987,0.0040988254904663,3.57863009130272,207.3454916663089,1.059080233776771,4.4171119652510855,0.1133714571419643,0.1531202149932814,1218.43395996,64.834257524,61.55,0.468642646404032,1158.29800859,719.010006004,11.5351711446,1888.84318574
Saint Petersburg,Russia,3.5501910527060923,0.0301062754332962,3.5505866086405344,158.44122459233978,1.030137201179624,4.070824286890769,0.0521823762820992,0.2680242569439245,361.457611084,82.975556636,35.96,0.399474080947118,189.493772329,285.242028518,54.420841685,529.156642532
Paris,France,3.580476301094277,0.0027676103079719,3.580321672752385,98.88476186555393,1.0491890302825022,4.326261015006737,0.1374920630004181,0.1348980192346409,1157.58740234,42.28584188,49.58,0.433802557271778,812.159184263,790.334439647,36.2111358125,1638.70475972
London,United Kingdom,3.56886857225312,0.0132908801924994,3.570995578077846,92.5874044534908,1.060537622204497,4.601613484026255,0.2653340998540662,0.0587588681605397,1294.46435547,29.138717701,54.28,0.44924360980149,1011.75392571,807.394088369,47.5455245623,1866.69353864
Madrid,Spain,3.569945330413957,0.0123170675567292,3.567149499245336,98.61445183066276,1.0510200825808496,3.919692076850312,0.0719900838307727,0.159457872590273,388.351409912,54.007071386,50.28,0.297361956241979,71.962843124,647.948490163,58.3955244154,778.306857702
Berlin,Germany,3.571242386038925,0.01114338165893,3.570942560134675,138.5644261803291,1.0386815009157764,5.199150865325802,0.1122944626344763,0.2607850897708056,433.529418945,18.444122378,71.23,0.4875852916758,488.671562207,196.006593143,2.2669726478,686.945127998
Athens,Greece,3.543187655257217,0.036374189517826,3.5416004608208453,71.20105192891153,1.018258580868821,4.57516339869281,0.0665403416268468,0.3317817323007634,326.119842529,54.918740434,25.54,0.271708585612909,8.8020818297,326.436834023,102.573307369,437.812223222
Milan,Italy,3.5336691088023664,0.0448605416007271,3.5177614598656324,92.57504745919844,1.0490182290587609,4.120544394037589,0.1150176423993663,0.1174839778209836,474.108978271,35.557355174,51.15,0.433224476841664,385.656332439,366.785394004,2.103459375,754.545185818
Rotterdam [The Hague],Netherlands,3.529893902307262,0.0482159680793171,3.532573969852922,95.34494088620642,1.074260068375523,4.57899957489018,0.1614000283406546,0.1664406162068058,419.47668457,82.469856588,43.78,0.430684506343391,288.085892792,304.610873519,66.2478959946,658.944662305
Kyiv,Ukraine,3.5679162109098037,0.0141517889297421,3.560245062762105,182.1424603066905,1.0484587073284868,4.734721161191749,0.1590909090909091,0.1517379679144385,287.070037842,15.607432629,54.0,0.452306909768525,279.715597977,233.195122191,5.9444821995,518.855202367
Barcelona,Spain,3.5599791422960454,0.0213120684209026,3.555743069408112,94.69286283438396,1.0510302989927225,3.915991599159916,0.0676996271055677,0.2203291757747203,308.673461914,55.281822615,47.05,0.298962001997332,138.923303084,356.533588388,86.1294254265,581.586316898
New York,United States,3.547157728787391,0.0328235399068379,3.5481395025563405,136.17418422417848,1.0461587963134718,5.19449590859966,0.1437895630693222,0.2323182028716998,3678.07592773,32.017120532,60.95,0.493904611933757,3281.77452612,1608.13816457,490.406927853,5380.31961854
Los Angeles,United States,3.1580242313780493,0.3498012685118776,3.204145749865765,149.15784538042985,1.0552806028007304,5.130776051390068,0.2035399885517174,0.221539232815417,4632.77001953,37.90369685,17.76,0.293597406476431,179.460793985,4658.41132416,781.048102492,5618.92022063
Chicago,United States,2.692084444382522,0.6468185903240111,2.7628536859181945,152.12158106609508,1.0533939481059769,5.382186455704836,0.1395689831548796,0.2916865580031371,2810.23486328,49.319272094,60.34,0.476855090725805,2311.21240644,1386.81870049,125.83088546,3823.86199238
Toronto,Canada,3.3902772400306045,0.1681613081087694,3.4176422487210374,153.79612644087746,1.120211963134706,5.221332920903737,0.1200041242959698,0.2112799494773743,1471.81738281,47.287544688,50.32,0.451651309881777,1015.97245474,901.285958583,100.051432281,2017.3098456
Montreal,Canada,3.484454251079627,0.0881397915799172,3.4905265382744357,141.1676861682125,1.0973506697306834,5.236153861834193,0.0558941639317528,0.2568033104348003,774.961853027,75.629509081,47.94,0.455901792105877,517.742921879,507.285780044,54.9056672059,1079.93436913
Mexico City,Mexico,3.4625429144954523,0.1070856773239502,3.464654343043,80.40728685690905,1.036828689785391,4.880354935826335,0.219651402313421,0.188607193788623,1298.20288086,40.300363465,38.59,0.258034442752143,497.325162358,1183.19436009,421.886731007,2102.40625346
Guadalajara,Mexico,3.3507330320551363,0.2006664289126734,3.376597497121057,79.11463765524685,1.0312177392406603,4.829846466336101,0.1497341537726268,0.2717247147380369,350.957977295,36.761514099,40.72,0.266693082377111,101.087800439,386.561355814,101.471735438,589.12089169
Rio de Janeiro,Brazil,3.5716081240436237,0.0108123049360964,3.571282177661594,100.32087650442872,1.043846206972787,5.116429034644648,0.1628289323456609,0.1564261118164464,795.49609375,49.593678254,41.81,0.356451738925542,532.068369773,752.791998557,75.3596736632,1360.22004199
Buenos Aires,Argentina,3.176802181343344,0.3359457693797285,3.195412773423469,103.39833958399817,1.0090243968809387,5.794842769592181,0.0476407831394959,0.5251136550364244,1359.40209961,71.036894802,30.89,0.336561550837738,541.003560913,1267.62989291,153.834429467,1958.30536342
Santo Domingo,Dominican Republic,3.477550814528774,0.0941303866362484,3.481136117001982,84.72412849612013,1.0476890651283937,5.335950818825231,0.1706015050541578,0.16798401956226,249.722976685,23.030146806,51.51,0.370155691367145,258.09186093,219.899523663,33.8788981706,511.870282764
Port-au-Prince,Haiti,3.5506847502839016,0.0296636583638901,3.5520336301380877,105.86595006726844,1.070065346570221,4.927316602316602,0.2770752895752896,0.0808880308880308,144.815124512,5.8036452287,48.28,0.393594145052698,114.418916636,151.119895389,13.8261343468,279.364946371
Lima,Peru,3.574229579542113,0.0084376648393244,3.573283943195769,79.0518090718748,1.0317198872316122,5.280549530007231,0.0890164541558647,0.2300231028340652,390.686065674,27.356112121,55.4,0.145686574024637,0.0,152.60849739,718.897350232,871.505847622
Bogota,Colombia,3.552096347427421,0.0283975552836093,3.544279453689101,76.27969787917985,1.037781075705973,5.028444114370591,0.1421611585592276,0.2216412922391385,218.433486938,47.667645628,59.4,0.22488865984399,84.4362634858,322.754395804,126.740533,533.931192289
Santiago,Chile,3.383315564952671,0.1739307505860206,3.421739779849305,74.04048676294099,1.022981548009086,5.065136962583608,0.150184986057701,0.2000036450454719,339.533691406,52.626049911,52.84,0.208760907719005,32.0762813711,465.764939287,219.977446653,717.818667311
Caracas,Venezuela,3.56383223825201,0.017839328691929,3.5642829025863687,134.1313086795929,1.1525692651046369,4.348395061728395,0.2317901234567901,0.1354320987654321,133.919891357,33.240246323,59.42,0.325995355382604,159.208300361,146.973495335,21.4962104375,327.678006134
Guayaquil,Ecuador,3.5170503062620986,0.059587222581845,3.522269423594764,72.89316672586327,1.0302176300692505,5.54201880877743,0.1027962382445141,0.3124263322884013,139.745178223,51.410257846,53.57,0.204462633092678,53.1571594833,150.661114661,95.6831299012,299.501404045
Dallas,United States,3.145657773337012,0.3588462070996954,3.2110600426460856,144.75629643736752,1.0576904718732718,5.028068765777812,0.1150513584659019,0.2495667660056725,2600.17529297,38.733221498,29.71,0.42934606662545,1005.26554412,2646.74339345,36.3703316618,3688.37926923
Budapest,Hungary,3.5326873715719933,0.0457336836729276,3.528636525991764,118.89121391087016,1.0286720203900543,5.21956749947512,0.0933865211001469,0.2251102246483309,287.546966553,25.015110238,45.34,0.445546630658075,196.331191363,233.003500616,4.0558755625,433.390567541
São Paulo,Brazil,3.581531846345681,0.0018079113105157196,3.581273847609681,95.53718975877382,1.0477768406789636,4.970877722025855,0.11371579701905728,0.15987838940109253,1397.37536621,54.725266111,30.31,0.283065281545343,428.253446782,1269.32579488,298.382115937,1995.9613576
Abidjan,Côte d'Ivoire,3.4544843957927442,0.1140035414918622,3.477254750515211,96.63551472940321,1.0419787248916554,5.602166043732894,0.13496571411754318,0.18749816062862357,230.892303467,17.915678889,46.43,0.272028608344411,37.6415363939,305.932742739,83.5085134426,427.082792576
Wuhan,China,3.522670140281711,0.054620034074083446,3.5364127468349995,198.42967506598748,1.0521253992619235,4.58425421667636,0.11061174853275525,0.23819594987574685,321.692840576,22.25547469,61.61,0.29559471825074,40.1422566355,706.885150319,88.4968095534,835.524216508
Chongqing,China,3.4893900815632635,0.08384452181610358,3.5111865555802555,192.64526290210773,1.0871022643423451,4.049607623318385,0.0890554932735426,0.2368273542600897,252.817474365,21.591587564,48.09,0.388779268992036,104.275547517,374.127213734,6.9365824375,485.339343688
Hangzhou,China,3.4444395950309747,0.1225888704898015,3.4699307210302663,210.12740736530836,1.0443920398399484,4.9820292116749165,0.13245226890346493,0.2896539952695618,779.62701416,17.285033752,53.57,0.323272379176306,119.997827306,1506.94275617,45.2224222292,1672.16300571
